month,msp
1/31/2013,130000
2/28/2013,133000
3/31/2013,158500
4/30/2013,154000
5/31/2013,162500
6/30/2013,154500
7/31/2013,162500
8/31/2013,145500
9/30/2013,142000
10/31/2013,137500
11/30/2013,142000
12/31/2013,142447
1/31/2014,135000
2/28/2014,155000
3/31/2014,147500
4/30/2014,156930
5/31/2014,159900
6/30/2014,145000
7/31/2014,150000
8/31/2014,157768
9/30/2014,148800
10/31/2014,145000
11/30/2014,127963
12/31/2014,140000
1/31/2015,146950
2/28/2015,149000
3/31/2015,156000
4/30/2015,159962
5/31/2015,165000
6/30/2015,168000
7/31/2015,165000
8/31/2015,151000
9/30/2015,159000
10/31/2015,149750
11/30/2015,147000
12/31/2015,138479
1/31/2016,144000
2/29/2016,146000
3/31/2016,156000
4/30/2016,165000
5/31/2016,166500
6/30/2016,169143
7/31/2016,169000
8/31/2016,154000
9/30/2016,177393
10/31/2016,143000
11/30/2016,175000
12/31/2016,150000
1/31/2017,160037
2/28/2017,144718
3/31/2017,175000
4/30/2017,181217
5/31/2017,171500
6/30/2017,195569
7/31/2017,178000
8/31/2017,160000
9/30/2017,166900
10/31/2017,180000
11/30/2017,154872
12/31/2017,171134
1/31/2018,164800
2/28/2018,192000
3/31/2018,187373
4/30/2018,181053
5/31/2018,197391
6/30/2018,173928
7/31/2018,198000
8/31/2018,177500
9/30/2018,173138
10/31/2018,179900
11/30/2018,181101
12/31/2018,177450
1/31/2019,189900
2/28/2019,184000
3/31/2019,184017
4/30/2019,206164
5/31/2019,212057
6/30/2019,215000
7/31/2019,192500
8/31/2019,190000
9/30/2019,190000
10/31/2019,190000
11/30/2019,185000
12/31/2019,200000
1/31/2020,175900
2/29/2020,180000
3/31/2020,209000
4/30/2020,208396
5/31/2020,216731
6/30/2020,211500
7/31/2020,212423
8/31/2020,238516
9/30/2020,228000
10/31/2020,252000
11/30/2020,241375
12/31/2020,230000
1/31/2021,236500
2/28/2021,199000
3/31/2021,243000
4/30/2021,251000
5/31/2021,254000
6/30/2021,251994
7/31/2021,220000
8/31/2021,237160
9/30/2021,220000
10/31/2021,247165
11/30/2021,225000
12/31/2021,240500
1/31/2022,217515
2/28/2022,236500
3/31/2022,263000
4/30/2022,280500
5/31/2022,259900
6/30/2022,265000
7/31/2022,264341
8/31/2022,250750
9/30/2022,245000
10/31/2022,246000
11/30/2022,259093
12/31/2022,257500
1/31/2023,240000
2/28/2023,227500
3/31/2023,259900
4/30/2023,239646
5/31/2023,264950
6/30/2023,305000
7/31/2023,242651
8/31/2023,258186
9/30/2023,315000
